plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
520.12451666666652,833.33333333333326,0,0,4643.7921000000006,5393.7921000000006,952.15016666666656,1265.3589833333333,0,0.4662
486.40289999999993,833.33333333333326,0,1.1368683772161603e-13,5393.7921000000006,6143.7921000000006,919.91011666666657,1266.8405499999999,0,0.44319999999999998
480.41244999999992,833.33333333333326,0,1.1368683772161603e-13,6143.7921000000006,6893.7921000000006,915.79844999999989,1268.7193333333332,0,0.44109999999999999
485.29999999999995,833.33333333333326,0,0,6893.7921000000006,7643.7921000000006,919.07539999999995,1267.1087333333332,0,0.4551
488.60696666666661,833.33333333333326,0,1.1368683772161603e-13,7643.7921000000006,8393.7921000000006,914.30483333333325,1259.0311999999999,0,0.44629999999999997
498.27073333333317,833.33333333333326,0,1.1368683772161603e-13,8393.7921000000006,9143.7921000000006,910.39379999999994,1245.4564,0,0.4113
0,304.55176666666574,0,7.3896444519050419e-13,9143.7921000000006,9417.8886899999998,927.68443333333335,1232.2361999999998,0,0.56820000000000004
0,264.50718333333293,0,4.5474735088646412e-13,9417.8886899999998,9655.9451549999994,954.29246666666654,1218.7996499999999,0,0.82789999999999997
0,242.50754999999924,0,6.8212102632969618e-13,9655.9451549999994,9874.2019499999988,956.58261666666669,1199.0901666666666,0,0.86360000000000003
0,223.07558333333264,0,5.1159076974727213e-13,9874.2019499999988,10074.969974999998,952.44726666666668,1175.5228499999998,0,0.84160000000000001
0,198.75931666666574,0,8.2422957348171622e-13,10074.969974999998,10253.853359999997,952.97508333333326,1151.7343999999998,0,0.86180000000000001
2.2737367544323206e-13,177.35981666666703,0,0,10253.853359999997,10413.477194999998,951.37476666666657,1128.7345833333334,0,0.86229999999999996
0,151.74029999999928,0,5.4001247917767614e-13,10413.477194999998,10550.043464999997,949.48636666666664,1101.2266666666665,0,0.90259999999999996
4.5474735088646412e-13,120.03503333333356,0,0,10550.043464999997,10658.074994999997,948.7163833333334,1068.7514166666665,0,0.97540000000000004
0,87.814449999999241,0,8.3844042819691822e-13,10658.074994999997,10737.107999999997,947.85484999999994,1035.6693,0,1.0002
2.4868995751603507e-13,53.624866666666797,0,0,10737.107999999997,10785.370379999997,946.49366666666674,1000.1185333333333,0,0.99780000000000002
0,16.255133333333003,0,4.4408920985006262e-13,10785.370379999997,10799.999999999996,944.90846666666653,961.16359999999997,0,1.0270999999999999
