date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-02-27,6579.7701932575583,6213.704890505137,46103.44206124718,43536.564664302088,1618.9390771804244,-190.86028209944908,1138.7986018641211,71543.855173097312,266.42303967309999,22567.186231969852,18608.879620372754,895.38740117329917
2025-02-28,6213.704890505137,5912.8102055904055,18307.61332711413,16822.759831207659,617.70685264447297,-57.810836203142699,924.95747946513848,33040.075386450131,283.31579302217051,16873.634762965135,13938.449374425025,7095.6122409321788
2025-03-01,5912.8102055904055,5997.9299645105903,19583.801479852737,18814.293492343888,128.2596140695033,-481.09540884170059,1122.3437822810463,35361.10443269075,209.44653499043062,16699.024661643296,13449.602192902907,8662.362565607451
2025-03-02,5997.9299645105903,6128.9340798529629,51895.300837756156,49017.301868527175,1004.3169144952077,-949.86621913144086,2823.5482738652131,77737.652654504185,563.34016872945426,23037.937770735633,18542.825890487729,1447.5738763190648
2025-03-03,6128.9340798529629,5953.8186829946944,52246.518336101333,50821.942335326683,1195.3107114241125,-2176.3955303501766,2405.6608197007149,76451.875272277888,557.9274847991577,22815.178143105572,18637.898153087957,815.37613372610792
2025-03-04,5953.8186829946944,6144.5412882671153,49214.619454386186,45426.475572319774,888.13634153112253,-254.88270978198594,3154.8902503172735,73692.195593504177,734.67852420195902,21515.994992167318,17256.305598910345,967.72679111583284
2025-03-05,6144.5412882671153,6119.8346845711558,50349.535555431212,47376.312684936864,471.51171690828295,-2351.7081393766321,4853.4192929627034,70341.91048016696,1083.6381258331091,21102.356112627298,17115.144394554474,1307.8648712605786
2025-03-06,6119.8346845711558,6292.898981344928,44938.100047490516,43972.429278488125,607.32057597790867,-481.02363466752206,839.37382769200497,70603.783410364471,171.83957250665665,21649.093001144389,17380.007463830567,565.88331222398267
2025-03-07,6292.898981344928,5777.2174038162493,17191.249413368969,17279.171747917455,0,-619.88437441977692,531.96203987129309,31288.651289845409,113.65045003407468,15724.32126710947,13200.81364613448,7956.5085855711523
2025-03-08,5777.2174038162493,6024.6877104223822,17390.540620265245,15770.452472639428,881.22333581983253,-1.1422726866377766,740.00708449262311,31225.963491940194,327.69321284422603,16005.116503225636,12741.421091667244,9226.8217765593545
2025-03-09,6024.6877104223822,6411.6114980267721,43384.620808939813,44653.071830007488,264.94785658471966,-1533.3988776524302,3.1178480019988798e-11,68380.366976434976,8.8022922284380911e-12,22480.502631200619,17860.975722428557,427.31501766291132
2025-03-10,6411.6114980267721,6041.7436158922419,45817.447700427874,42381.475650242108,2620.3032251893796,-27.826542053567884,843.49536704995512,72371.436947422975,125.89483090298147,22177.208077693263,18296.419636852625,574.47188748529459
2025-03-11,6041.7436158922419,6418.1105129246889,45062.501193355791,37731.110347621339,6141.984318501989,-0.80971646684217813,1190.2162436993081,69234.515610159346,290.15343855596711,22483.738662091328,17873.098108964776,975.10969558874388
2025-03-12,6418.1105129246889,5928.6408609194268,42356.363047373015,42970.343430546549,639.93689624541412,-1446.6232246283992,192.7059452094571,66093.491619976805,32.339917670025564,21160.991379894913,17580.925704519621,110.23117893819665
2025-03-13,5928.6408609194268,6072.4946635060614,46244.845204677382,43064.906957132727,1637.2099391735151,-109.42628304504392,1652.1545914161775,72673.26724024181,245.56189294367715,22244.98615257458,17888.970361257441,1017.1953252016739
2025-03-14,6072.4946635060614,5806.8052389407303,17912.042923764915,14954.714784601098,1164.0052327805165,-74.631811124756581,1867.9547175080588,29778.619838423281,667.16022221402432,15768.573417281636,13011.664950106924,11659.445610129254
2025-03-15,5806.8052389407303,5718.3355831283925,18364.948319259172,14980.729251733683,1073.5812728303874,-51.187245113075946,2361.8250398081777,30337.996141095242,534.97589811324701,15949.566233075861,12998.771339022554,6998.0519951551742
2025-03-16,5718.3355831283925,6431.4713070611633,42829.105911633473,41882.777564824486,1216.9010859959897,-278.03391918703613,7.4611800000381177,69484.123039284968,1.6400000000086798,22479.309298037424,17566.418379870822,1221.8251877850334
2025-03-17,6431.4713070611633,6115.34077853706,40634.189853621894,38082.48077787002,3031.7585115655929,-1197.7709920442965,717.72155623057586,61948.735230569844,173.21575818688447,21270.26897303859,17513.435343832953,506.98592621775435
2025-03-18,6115.34077853706,5966.8671370678776,42020.963827572792,43728.807839059373,254.77689052290987,-2062.0830321641056,99.46213015461997,65571.010630176432,20.403234439134192,21732.521737341121,17736.968884568574,469.90264517635745
2025-03-19,5966.8671370678776,6309.4132890523915,41388.271196301488,36328.660746015194,5067.8427090439045,-8.2322587576610129,4.3204710697963829e-11,65444.133044354036,1.0270007066992548e-11,21941.43335990786,17464.269484739307,1501.4987191854775
2025-03-20,6309.4132890523915,6100.3297099711344,43746.72477818084,41194.53930929186,1499.7299594319043,-683.96442167600412,1736.4199311330799,66124.720436838441,360.92362216304821,21175.114953922472,17340.018333850334,441.58562226267998
2025-03-21,6100.3297099711344,5674.3520101993281,19077.498120351956,14579.927128440122,559.65223092503538,-255.24572470975261,4193.1644856965513,28200.400604335446,1258.8654386235103,15716.43219729629,13113.690009604623,14823.059338600613
