date,strategy,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,emergency_kwh,emergency_intervals,spill_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,solve_seconds,mip_gap
2025-04-24,greedy,34179.11075808201,0,34179.11075808201,57448.89332687547,0,0,7124.4531973189269,18303.965081165788,15069.631651609241,6575.6378351604199,6305.1712397549181,0,0
2025-04-25,greedy,12182.088741435389,458.53499544888956,12640.623736884279,25274.288166155544,92.905479778926065,1,20797.913022434146,16002.804406447689,13433.881432947364,6305.1712397549181,5781.1602800607716,0,0
2025-04-26,greedy,13094.640751543893,4.862405423247667,13099.503156967141,27017.998375419807,1.2525516288633867,1,23809.131293720675,15649.80311532097,12509.877115326304,5781.1602800607716,5966.1196223759698,0,0
2025-04-27,greedy,32552.488539976199,7147.847899773652,39700.336439749852,55355.80662681417,1035.437503916572,2,3770.6880602805245,20285.605427627903,16238.520540511014,5966.1196223759698,6180.3639066732931,0,0
2025-04-28,greedy,33032.02247429487,32359.01821146065,65391.040685755521,55507.912500155282,4792.6386611630433,9,726.72173874314262,15357.074998930206,12405.212893021686,6180.3639066732931,6218.1615245752764,0,0
2025-04-29,greedy,34835.267281852481,1397.4024923239986,36232.66977417648,58860.453849841331,200.31572424369244,1,7962.7184279015528,17917.208678195391,14252.371248678592,6218.1615245752764,6507.6812808638078,0,0
2025-04-30,greedy,33457.886539700616,74.784042441264631,33532.67058214188,56408.052997249426,16.494054354050423,1,5046.9772785657588,18183.542767934705,15062.827428230321,6507.6812808638078,6136.3948517491317,0,0
2025-05-01,greedy,33088.027283766751,13045.731195006303,46133.758478773052,55535.361534509604,1991.730351406093,9,3421.8134187979099,19576.491206741164,16482.591539623376,6136.3948517491317,5441.2463382346577,0,0
2025-05-02,greedy,12560.76335260775,18068.069971341869,30628.833323949621,25773.370030942777,3348.6721304011621,18,11860.349877911725,15827.352157818699,12855.979957719817,5441.2463382346577,5401.4411050272429,0,0
2025-05-03,greedy,13129.478745552678,9380.2745114956106,22509.753257048287,26907.298663651505,1692.9873672172498,8,16429.45130582435,16151.793610004541,12848.130534960137,5401.4411050272429,5662.3547596311782,0,0
2025-05-04,greedy,32960.453710710513,11795.589627323148,44756.043338033662,55731.210282145257,1888.9055351319514,10,2534.4006935692805,18361.739303270071,15010.691512895481,5662.3547596311782,5509.3740071348248,0,0
2025-05-05,greedy,33884.944181961611,14276.558810855056,48161.50299281667,57728.118834592358,2196.0060214634041,10,942.27092989781329,21217.830196843042,17311.983070685092,5509.3740071348248,5369.8844390879167,0,0
