slot,interval,plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
24,04:00-04:10,593.65968333333331,0,0,0,10050,10050,593.65968333333331,0,0,0.44009999999999999
25,04:10-04:20,592.78638333333333,0,0,0,10050,10050,592.78638333333333,0,0,0.43890000000000001
26,04:20-04:30,593.33786666666663,0,0,0,10050,10050,593.33786666666663,0,0,0.43640000000000001
27,04:30-04:40,596.67576666666662,0,0,0,10050,10050,596.77566666666667,0.099900000000000003,0,0.43930000000000002
28,04:40-04:50,597.78025000000002,0,0,0,10050,10050,597.81933333333336,0.039083333333333331,0,0.44219999999999998
29,04:50-05:00,595.16249999999991,0,0,0,10050,10050,595.21058333333326,0.048083333333333325,0,0.4395
30,05:00-05:10,590.60649999999998,0,0,0,10050,10050,593.71951666666666,3.1130166666666668,0,0.43330000000000002
31,05:10-05:20,589.48518333333334,0,0,0,10050,10050,598.56348333333335,9.0782999999999987,0,0.44390000000000002
32,05:20-05:30,578.45544999999993,0,0,0,10050,10050,596.6174166666666,18.161966666666665,0,0.43009999999999998
33,05:30-05:40,1383.6597833333331,833.33333333333326,0,0,10050,10800,581.01983333333328,30.693383333333333,0,0.37130000000000002
34,05:40-05:50,591.14019999999994,0,0,0,10800,10800,637.31656666666663,46.176366666666667,0,0.57079999999999997
35,05:50-06:00,0,0,668.25388333333319,0,10800,10057.495685185186,733.01211666666654,64.758233333333322,0,0.90990000000000004
36,06:00-06:10,0,0,655.45533333333333,0,10057.495685185186,9329.2119814814814,742.33538333333331,86.880049999999997,0,0.93679999999999997
37,06:10-06:20,0,0,616.50403333333338,0,9329.2119814814814,8644.2075000000004,728.63198333333332,112.12795,0,0.87580000000000002
38,06:20-06:30,0,0,591.45448333333343,0,8644.2075000000004,7987.0358518518524,732.1588333333334,140.70434999999998,0,0.87590000000000001
39,06:30-06:40,0,0,557.48686666666663,0,7987.0358518518524,7367.6060000000007,730.76593333333324,173.27906666666667,0,0.86009999999999998
40,06:40-06:50,0,0,529.23969999999997,0,7367.6060000000007,6779.5618888888894,739.12928333333332,209.88958333333335,0,0.84419999999999995
41,06:50-07:00,0,0,502.4707166666667,0,6779.5618888888894,6221.2610925925928,753.90935000000002,251.43863333333334,0,0.83340000000000003
42,07:00-07:10,0,0,455.4435666666667,0,6221.2610925925928,5715.2126851851854,754.01201666666668,298.56844999999998,0,0.80920000000000003
43,07:10-07:20,0,0,410.06670000000003,0,5715.2126851851854,5259.5830185185187,757.64778333333334,347.58108333333331,0,0.79720000000000002
44,07:20-07:30,0,0,356.99678333333327,0,5259.5830185185187,4862.9199259259258,753.87363333333326,396.87684999999999,0,0.76439999999999997
45,07:30-07:40,0,0,283.36356666666666,0,4862.9199259259258,4548.0715185185181,730.55943333333335,447.19586666666669,0,0.68989999999999996
46,07:40-07:50,0,0,320.68411666666657,0,4548.0715185185181,4191.7558333333327,818.40998333333323,497.72586666666666,0,0.85999999999999999
47,07:50-08:00,0,0,418.42144999999994,0,4191.7558333333327,3726.8431111111104,966.62211666666656,548.20066666666662,0,1.1617
48,08:00-08:10,0,0,381.91078333333326,0,3726.8431111111104,3302.4977962962957,980.80433333333326,598.89355,0,1.1682999999999999
49,08:10-08:20,0,0,309.55634999999995,0,3302.4977962962957,2958.5462962962956,958.01188333333323,648.45553333333328,0,1.0955999999999999
50,08:20-08:30,0,0,264.61940000000004,0,2958.5462962962956,2664.5247407407401,961.50968333333333,696.89028333333329,0,1.0849
51,08:30-08:40,0,0,213.74080000000004,0,2664.5247407407401,2427.0349629629623,959.03508333333332,745.29428333333328,0,1.0609999999999999
52,08:40-08:50,0,0,178.55891666666673,0,2427.0349629629623,2228.6361666666658,970.69678333333331,792.13786666666658,0,1.0429999999999999
53,08:50-09:00,0,0,155.39211666666677,0,2228.6361666666658,2055.9782592592583,992.3766833333334,836.98456666666664,0,1.036
54,09:00-09:10,0,0,112.25950000000012,0,2055.9782592592583,1931.2454814814803,993.16160000000002,880.9020999999999,0,1.0146999999999999
55,09:10-09:20,0,0,64.396866666666597,0,1931.2454814814803,1859.6934074074063,988.25923333333333,923.86236666666673,0,0.99219999999999997
56,09:20-09:30,0,0,22.562249999999949,0,1859.6934074074063,1834.6242407407397,987.29713333333325,964.7348833333333,0,0.96999999999999997
57,09:30-09:40,0,17.42406666666659,0,0,1834.6242407407397,1850.3059007407396,984.59766666666667,1002.0217333333333,0,0.94220000000000004
58,09:40-09:50,0,52.837766666666539,0,0,1850.3059007407396,1897.8598907407395,983.18769999999995,1036.0254666666665,0,0.95689999999999997
59,09:50-10:00,0,84.56241666666665,0,0,1897.8598907407395,1973.9660657407394,983.70326666666665,1068.2656833333333,0,0.99770000000000003
60,10:00-10:10,0,116.9835833333334,0,0,1973.9660657407394,2079.2512907407395,982.91321666666659,1099.8968,0,0.9919
61,10:10-10:20,0,146.66060000000004,0,0,2079.2512907407395,2211.2458307407396,981.12613333333331,1127.7867333333334,0,0.95879999999999999
