plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,598.5634833333334,9.078299999999999,0.0,0.4439
578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,596.6174166666666,18.161966666666665,0.0,0.4301
1383.659783333333,833.3333333333333,0.0,0.0,10050.0,10800.0,581.0198333333333,30.693383333333333,0.0,0.3713
591.1401999999999,0.0,0.0,0.0,10800.0,10800.0,637.3165666666666,46.17636666666667,0.0,0.5708
0.0,0.0,668.2538833333332,0.0,10800.0,10057.495685185186,733.0121166666665,64.75823333333332,0.0,0.9099
0.0,0.0,655.4553333333333,0.0,10057.495685185186,9329.211981481481,742.3353833333333,86.88005,0.0,0.9368
0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075,728.6319833333333,112.12795,0.0,0.8758
0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852,732.1588333333334,140.70434999999998,0.0,0.8759
0.0,0.0,557.4868666666666,0.0,7987.035851851852,7367.606000000001,730.7659333333332,173.27906666666667,0.0,0.8601
0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889,739.1292833333333,209.88958333333335,0.0,0.8442
0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593,753.90935,251.43863333333334,0.0,0.8334
0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185,754.0120166666667,298.56845,0.0,0.8092
0.0,0.0,410.0667,0.0,5715.212685185185,5259.583018518519,757.6477833333333,347.5810833333333,0.0,0.7972
0.0,0.0,356.99678333333327,0.0,5259.583018518519,4862.919925925926,753.8736333333333,396.87685,0.0,0.7644
0.0,0.0,283.36356666666666,0.0,4862.919925925926,4548.071518518518,730.5594333333333,447.1958666666667,0.0,0.6899
0.0,0.0,320.68411666666657,0.0,4548.071518518518,4191.755833333333,818.4099833333332,497.72586666666666,0.0,0.86
0.0,0.0,418.42144999999994,0.0,4191.755833333333,3726.8431111111104,966.6221166666666,548.2006666666666,0.0,1.1617
0.0,0.0,381.91078333333326,0.0,3726.8431111111104,3302.4977962962957,980.8043333333333,598.89355,0.0,1.1683
0.0,0.0,309.55634999999995,0.0,3302.4977962962957,2958.5462962962956,958.0118833333332,648.4555333333333,0.0,1.0956
0.0,0.0,264.61940000000004,0.0,2958.5462962962956,2664.52474074074,961.5096833333333,696.8902833333333,0.0,1.0849
0.0,0.0,213.74080000000004,0.0,2664.52474074074,2427.0349629629623,959.0350833333333,745.2942833333333,0.0,1.061
0.0,0.0,178.55891666666673,0.0,2427.0349629629623,2228.6361666666658,970.6967833333333,792.1378666666666,0.0,1.043
0.0,0.0,155.39211666666677,0.0,2228.6361666666658,2055.9782592592583,992.3766833333334,836.9845666666666,0.0,1.036
0.0,0.0,112.25950000000012,0.0,2055.9782592592583,1931.2454814814803,993.1616,880.9020999999999,0.0,1.0147
0.0,0.0,64.3968666666666,0.0,1931.2454814814803,1859.6934074074063,988.2592333333333,923.8623666666667,0.0,0.9922
0.0,0.0,22.56224999999995,0.0,1859.6934074074063,1834.6242407407397,987.2971333333332,964.7348833333333,0.0,0.97
0.0,17.42406666666659,0.0,0.0,1834.6242407407397,1850.3059007407396,984.5976666666667,1002.0217333333333,0.0,0.9422
0.0,52.83776666666654,0.0,0.0,1850.3059007407396,1897.8598907407395,983.1877,1036.0254666666665,0.0,0.9569
0.0,84.56241666666665,0.0,0.0,1897.8598907407395,1973.9660657407394,983.7032666666667,1068.2656833333333,0.0,0.9977
0.0,116.9835833333334,0.0,0.0,1973.9660657407394,2079.2512907407395,982.9132166666666,1099.8968,0.0,0.9919
0.0,146.66060000000004,0.0,0.0,2079.2512907407395,2211.2458307407396,981.1261333333333,1127.7867333333334,0.0,0.9588
0.0,173.52024999999992,0.0,0.0,2211.2458307407396,2367.4140557407395,978.9118,1152.43205,0.0,0.9549
0.0,201.02908333333323,0.0,0.0,2367.4140557407395,2548.3402307407396,976.3384666666667,1177.36755,0.0,0.9839
0.0,225.40611666666655,0.0,0.0,2548.3402307407396,2751.2057357407393,974.1658,1199.5719166666665,0.0,0.799
