date,model,nominal_cost,oracle_lower,regret
2025-07-22,ridge,61899.552121044937,61310.913669866874,588.63845117806341
2025-07-22,gru_mean,61674.142297348742,61310.913669866874,363.2286274818689
2025-07-23,seasonal,60257.839352833682,59921.316644677172,336.52270815650991
2025-07-23,ridge,60250.925957073581,59921.316644677172,329.60931239640922
2025-07-23,gru_mean,60285.092118885579,59921.316644677172,363.7754742084071
2025-07-24,seasonal,60674.21552152872,60291.67647738097,382.53904414775025
2025-07-24,ridge,60762.062359223564,60291.67647738097,470.38588184259424
2025-07-24,gru_mean,60695.689871115377,60291.67647738097,404.01339373440715
2025-07-25,seasonal,24000.671210513072,23637.808068739498,362.86314177357417
2025-07-25,ridge,24063.26632963225,23637.808068739498,425.45826089275215
2025-07-25,gru_mean,24002.568544567202,23637.808068739498,364.76047582770479
2025-07-26,seasonal,24968.394983112765,24463.803294236077,504.59168887668784
2025-07-26,ridge,25002.088683619018,24463.803294236077,538.2853893829415
2025-07-26,gru_mean,24933.309616892897,24463.803294236077,469.50632265681998
2025-07-27,seasonal,60816.799883512635,60338.547341163023,478.25254234961176
2025-07-27,ridge,60903.169321962792,60338.547341163023,564.62198079976952
2025-07-27,gru_mean,60956.822203756106,60338.547341163023,618.27486259308353
2025-07-28,seasonal,60159.207141185077,59792.470057576109,366.73708360896853
2025-07-28,ridge,60188.719858779405,59792.470057576109,396.24980120329565
2025-07-28,gru_mean,60238.829812416247,59792.470057576109,446.35975484013761
2025-07-29,seasonal,63087.723114322012,62726.850288213274,360.87282610873808
2025-07-29,ridge,63236.313567803387,62726.850288213274,509.46327959011251
2025-07-29,gru_mean,63133.435064565841,62726.850288213274,406.58477635256713
2025-07-30,seasonal,60516.843762863791,60121.002485075784,395.84127778800757
2025-07-30,ridge,60454.398776776121,60121.002485075784,333.39629170033731
2025-07-30,gru_mean,60522.555954929354,60121.002485075784,401.55346985357028
2025-07-31,seasonal,59338.75746636049,59058.449882348614,280.30758401187632
2025-07-31,ridge,59404.79280663142,59058.449882348614,346.34292428280605
2025-07-31,gru_mean,59362.125914082048,59058.449882348614,303.67603173343377
2025-08-01,seasonal,23058.999539812306,22740.764720165756,318.23481964655002
2025-08-01,ridge,23110.815184748801,22740.764720165756,370.05046458304423
2025-08-01,gru_mean,23037.983769497951,22740.764720165756,297.21904933219412
2025-08-02,seasonal,23244.124473122905,22821.721441204805,422.40303191810017
2025-08-02,ridge,23280.057416696327,22821.721441204805,458.33597549152182
2025-08-02,gru_mean,23221.95634885825,22821.721441204805,400.23490765344468
2025-08-03,seasonal,55292.274555400225,54638.231558903455,654.04299649676977
2025-08-03,ridge,55142.133698672777,54638.231558903455,503.90213976932137
