date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-03-30,5971.6194330840672,6279.030737978972,38606.808713287835,38852.993183457525,1582.6945934575187,-1828.8790636272561,3.9640075388813755e-11,59877.468947170753,9.7820085365185605e-12,21292.257386199686,16970.05830841633,209.65016938740314
2025-03-31,6279.030737978972,6254.9282553723597,38733.256201232281,34260.545236973696,4300.5881601564506,-83.727586881564434,255.85039098369955,60989.604076425487,53.642746753630036,20882.913557898712,16936.852216243908,145.79599819097518
2025-04-01,6254.9282553723597,6128.7798019865377,42186.14438339659,42396.730382420777,1192.8255533725319,-1649.657767549832,246.24621515311972,64612.757959016701,42.730620805729259,20280.530848548071,16540.763595371183,706.86980997886769
2025-04-02,6128.7798019865377,6087.1901520861829,41485.212024707922,40182.073446949638,1248.8760529853112,-489.36669339326272,543.62921816623475,65536.414157951353,82.169442211751701,20853.202807894566,16928.524959304923,1258.5703515734438
2025-04-03,6087.1901520861829,6130.93498477713,39930.569655586834,41543.277110472285,27.816460975723537,-1947.8815269299989,307.35761106882836,60862.988869468303,44.32935906379781,21019.593715854655,16986.500560420416,1010.6948064311943
2025-04-04,6130.93498477713,5883.5858148915177,11434.715100129117,10386.991367857634,418.1733225813702,-33.012880080579947,662.56328977069143,27736.768449830495,170.48367292485014,17034.400864418236,14020.478953075824,18462.527961412932
2025-04-05,5883.5858148915177,5906.3564811142287,11667.919025309111,10815.509389033006,653.12425691223359,0,199.28537936387258,28477.29255940011,53.402423530706137,16917.180431305365,13682.422549756904,13251.822118049018
2025-04-06,5906.3564811142287,6187.6905404058298,38140.300295529152,38301.989433532603,1110.1238708028836,-1290.9871556517817,19.174146845444795,60267.050412872828,4.9764201519446889,21181.011559461782,16903.418709801605,1584.3577166979312
2025-04-07,6187.6905404058298,5816.7652477083002,35217.073875884482,32990.589560483277,2103.5592389758785,-11.54211836938955,134.46719479472125,57227.856501506278,22.976774976829049,20509.780462318569,16946.754937905818,445.08846873702601
2025-04-08,5816.7652477083002,5946.402843667287,38755.108218367168,38707.87516328771,685.1196437488727,-1646.6975023668447,1008.8109136974323,59266.060522408501,171.99702361803713,21376.478253261434,17198.273548778667,906.65922487710986
2025-04-09,5946.402843667287,5973.0247879215494,39478.227452057159,38158.623605824512,1413.3502985088387,-184.58386037497706,90.837408098774176,64568.403096451148,18.364639011193244,21352.56207010604,17271.615526957052,1371.5101756466831
2025-04-10,5973.0247879215494,6095.7797767338961,37914.157523443297,37055.808706624433,1254.2456729567109,-1063.8168882683422,667.92003213048906,59443.158631364116,140.05612149598934,21188.232691668192,17051.988990320122,986.33315151203044
2025-04-11,6095.7797767338961,5677.3445998868174,12038.433580006724,9833.3479752447565,1163.4087543344351,0,1041.6768504275356,27007.728918929613,271.66525517777535,16802.955596196585,13986.985692081606,19146.774103325741
2025-04-12,5677.3445998868174,6053.0040687245728,10902.764547626895,11045.008285305164,20.550123463768564,-162.79386114206056,1.9787610383570355e-11,27806.140505012019,5.8354432397322853e-12,16867.224566172594,13324.358376645821,15238.113765485245
2025-04-13,6053.0040687245728,6084.9732913553007,36596.398564304429,34585.957151625538,1920.6670412050521,-130.56024306219217,220.33461453603505,58847.568374923067,47.968130713273027,20695.55149422562,16734.624409955104,658.25093803248342
2025-04-14,6084.9732913553007,6034.7280337166321,39000.486514844539,36386.944204104613,2482.9127337439631,-2152.7328341816337,2283.3624111775944,55890.095535451852,369.48202449837117,19585.398032688521,15909.393138352498,55.540865614196605
2025-04-15,6034.7280337166321,6183.9064009766516,34813.306235833516,31540.960062601393,3012.9692340547799,-55.753548818577407,315.13048799591826,56097.653922246049,63.097464141380691,20071.412878122384,16123.58390074511,2073.4935756768177
2025-04-16,6183.9064009766516,6027.1136546962853,37269.103044412375,35201.04474763132,1701.0640554787165,-275.11740722685175,642.11164852919308,59667.244982027405,119.26843649020523,20294.048420961943,16579.292692631512,292.16574018717307
2025-04-17,6027.1136546962853,6169.3392092545273,36029.749138322783,32530.297528772502,2690.380514947572,-20.232858215639581,829.30395281834512,57036.697327294853,133.14677373164449,19902.36486953506,15992.912545220985,392.04942671241417
2025-04-18,6169.3392092545273,6088.7069895695604,11127.320016701446,9895.5333708850376,740.92778976087948,-40.308861473418077,531.16771752894601,26745.285313350152,148.66298067861942,16045.105604092139,13069.104537031102,17563.830043634396
2025-04-19,6088.7069895695604,5951.369057683808,10947.105247655916,9644.3419046857562,670.85860743046146,0,631.90473553969662,26475.338079652876,159.5469329937107,16625.019248960118,13589.869730354871,16815.056244041334
