objective,dual_objective,gap,stationarity,dual_sign_violation,complementarity,equality_residual,inequality_violation,case,difference
-837.2338826680509,-837.2338826680605,9.549694368615746e-12,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-12,q3_adaptive_2025-03-20_1,1.9326762412674725e-12
-23.35340476710411,-23.353404767102802,1.3073986337985843e-12,4.440892098500626e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q3_adaptive_2025-03-20_2,2.0392576516314875e-12
867.8827177575422,867.8827177575371,5.115907697472721e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q3_adaptive_2025-03-20_3,1.5916157281026244e-12
350.7914892773457,350.7914892773514,5.6843418860808015e-12,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,3.637978807091713e-12,q3_adaptive_2025-06-21_1,6.366462912410498e-12
70.50411592346407,70.50411592346455,4.831690603168681e-13,3.0531133177191805e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q3_adaptive_2025-06-21_2,2.1316282072803006e-13
-291.283094398921,-291.2830943989208,1.7053025658242404e-13,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,0.0,q3_adaptive_2025-06-21_3,5.684341886080802e-14
-1043.9740490301417,-1043.9740490301422,4.547473508864641e-13,5.551115123125783e-17,0.0,0.0,1.1368683772161603e-13,0.0,q3_adaptive_2025-09-23_1,1.8189894035458565e-12
39.68296555001395,39.68296555001007,3.879563337250147e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,5.684341886080802e-14,q3_adaptive_2025-09-23_2,2.5082158572331537e-12
1049.9454862902658,1049.9454862902653,4.547473508864641e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,0.0,q3_adaptive_2025-09-23_3,6.821210263296962e-13
-539.2086237693093,-539.2086237692979,1.1368683772161603e-11,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q3_adaptive_2025-12-21_1,3.069544618483633e-12
1630.993561279386,1630.9935612793806,5.4569682106375694e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13,q3_adaptive_2025-12-21_2,4.092726157978177e-12
-261.2738355407471,-261.27383554074885,1.7621459846850485e-12,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,0.0,q3_adaptive_2025-12-21_3,9.094947017729282e-13
-1166.3994315270677,-1166.399431527064,3.637978807091713e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,1.3642420526593924e-12,q4_adaptive_2025-03-20_1,4.547473508864641e-13
-271.4611768159509,-271.4611768159332,1.77351466845721e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q4_adaptive_2025-03-20_2,2.2737367544323206e-12
